id,name,manufacturer
tg16,TurboGrafx-16,TurboGrafx
psp,PlayStation Portable,Sony
2600,Atari 2600,Atari
ps4,PlayStation 4,Sony
n64,Nintendo 64,Nintendo
gba,GameBoy Advance,Nintendo
gg,Game Gear,Sega
psv,PlayStation Vita,Sony
xb,Xbox,Microsoft
dc,Dreamcast,Sega
xone,Xbox One,Microsoft
ps2,PlayStation 2,Sony
wii,Wii,Nintendo
x360,Xbox 360,Microsoft
wiiu,Wii U,Nintendo
pc,PC,Misc
ds,Nintendo DS,Nintendo
ws,WonderSwan,Bandai
pcfx,PC-FX,Nec
ps3,PlayStation 3,Sony
gen,Genesis,Sega
snes,Super Nintendo,Nintendo
ng,Neo Geo,SNK
gb,GameBoy,Nintendo
ps,PlayStation,Sony
scd,Sega CD,Sega
3ds,Nintendo 3DS,Nintendo
3do,3DO,Panasonic
nes,Nintendo,Nintendo
sat,Saturn,Sega
gc,GameCube,Nintendo
